TICKER1,TICKER2	GEN	FEB	MAR	APR	MAG	GIU	LUG	AGO	SET	OTT	NOV	DIC
DWFI,VCSH	[('1.426', '0.442'), ('1.281', '0.365'), ('0.600', '0.163'), ('1.115', '0.289'), ('0.990', '0.502'), ('0.569', '0.088'), ('1.257', '0.463'), ('0.008', '0.262'), ('0.039', '-0.012'), ('0.031', '0.063'), ('0.415', '-0.251'), ('-1.053', '-0.277')]
ECCA,LMBS	[('0.070', '-0.153'), ('0.573', '0.250'), ('-0.890', '-0.287'), ('-0.423', '-0.019'), ('-0.696', '0.019'), ('0.292', '-0.063'), ('0.480', '0.058'), ('0.239', '-0.058'), ('0.115', '-0.154'), ('-1.069', '-0.308'), ('0.230', '-0.212'), ('0.244', '-0.290')]
ECCB,GNMA	[('0.197', '0.242'), ('0.766', '0.222'), ('0.309', '0.262'), ('0.194', '0.201'), ('0.614', '0.765'), ('-0.645', '-0.540'), ('1.006', '0.647'), ('0.724', '0.502'), ('-0.644', '0.181'), ('-0.951', '0.020'), ('-0.076', '-0.261'), ('0.114', '-0.141')]
ECCB,IEF	[('0.197', '0.267'), ('0.766', '0.917'), ('0.309', '0.783'), ('0.194', '0.613'), ('0.614', '1.045'), ('-0.645', '-0.458'), ('1.006', '0.745'), ('0.724', '1.206'), ('-0.644', '-1.151'), ('-0.951', '-0.075'), ('-0.076', '-0.339'), ('0.114', '-0.340')]
ECCB,IEI	[('0.197', '0.318'), ('0.766', '0.392'), ('0.309', '0.556'), ('0.194', '0.398'), ('0.614', '0.510'), ('-0.645', '-0.299'), ('1.006', '0.568'), ('0.724', '0.589'), ('-0.644', '-0.628'), ('-0.951', '-0.130'), ('-0.076', '-0.382'), ('0.114', '-0.294')]
ECCB,ISTB	[('0.197', '0.320'), ('0.766', '0.300'), ('0.309', '0.160'), ('0.194', '0.319'), ('0.614', '0.399'), ('-0.645', '0.040'), ('1.006', '0.379'), ('0.724', '0.278'), ('-0.644', '-0.119'), ('-0.951', '0.040'), ('-0.076', '-0.240'), ('0.114', '-0.040')]
ECCB,LMBS	[('0.197', '-0.153'), ('0.766', '0.250'), ('0.309', '-0.287'), ('0.194', '-0.019'), ('0.614', '0.019'), ('-0.645', '-0.063'), ('1.006', '0.058'), ('0.724', '-0.058'), ('-0.644', '-0.154'), ('-0.951', '-0.308'), ('-0.076', '-0.212'), ('0.114', '-0.290')]
ECCB,MBB	[('0.197', '0.038'), ('0.766', '0.603'), ('0.309', '0.481'), ('0.194', '0.347'), ('0.614', '0.685'), ('-0.645', '-0.327'), ('1.006', '0.743'), ('0.724', '0.579'), ('-0.644', '-0.214'), ('-0.951', '-0.075'), ('-0.076', '-0.178'), ('0.114', '0.169')]
ECCB,OXLCO	[('0.197', '0.078'), ('0.766', '0.980'), ('0.309', '-0.583'), ('0.194', '0.353'), ('0.614', '-0.039'), ('-0.645', '-0.313'), ('1.006', '0.669'), ('0.724', '-0.078'), ('-0.644', '-0.860'), ('-0.951', '-0.937'), ('-0.076', '-0.828'), ('0.114', '0.475')]
ECCB,PLW	[('0.197', '0.188'), ('0.766', '1.190'), ('0.309', '0.563'), ('0.194', '0.278'), ('0.614', '1.331'), ('-0.645', '-0.122'), ('1.006', '0.092'), ('0.724', '1.527'), ('-0.644', '-1.269'), ('-0.951', '-0.184'), ('-0.076', '-0.123'), ('0.114', '-0.122')]
