TICKER	DATA PRIMA QUOTAZIONE	DATA ULTIMA QUOTAZIONE	VARIAZIONE PERCENTUALE	PREZZO MINIMO	PREZZO MASSIMO
ALGN	2001-01-30	2018-08-24	2078.370%	1.260	99.930
ALGT	2006-12-08	2018-08-24	439.442%	100.000	99.970
ALIM	2010-04-22	2018-08-24	-91.273%	0.740	9.970
ALJJ	1996-04-03	2018-08-24	-59.200%	0.020	9.938
ALK	1980-03-17	2018-08-24	7278.072%	0.765	99.220
ALKS	1991-07-16	2018-08-24	715.455%	0.938	98.500
ALL	1993-06-03	2018-08-24	577.651%	100.000	99.970
ALLE	2013-11-18	2018-08-24	80.012%	40.240	89.810
ALLT	2006-11-16	2018-08-24	-53.802%	1.250	9.920
ALLY	2014-01-28	2018-08-24	4.822%	14.550	31.290
ALNA	2017-11-02	2018-08-24	7.715%	10.010	9.910
ALNY	2004-06-01	2018-08-24	1283.857%	10.000	99.920
ALOT	1981-10-01	2018-08-24	1952.794%	0.606	9.993
ALPN	2015-06-17	2018-08-24	-89.410%	10.000	9.990
ALQA	1999-05-19	2018-08-24	-95.919%	1.580	988.750
ALRM	2015-06-26	2018-08-24	231.398%	10.260	57.920
ALRN	2017-06-29	2018-08-24	-80.093%	1.980	9.950
ALSK	1999-11-18	2018-08-24	-86.195%	1.180	9.990
ALSN	2012-03-15	2018-08-24	109.872%	15.820	49.310
ALT	2000-01-04	2018-08-24	-97.745%	0.013	9.988
ALTR	2017-11-01	2018-08-24	121.245%	16.550	41.810
ALTY	2015-07-14	2018-08-24	1.519%	12.116	18.160
ALV	1997-04-28	2018-08-24	251.718%	10.050	99.986
ALX	1980-03-17	2018-08-24	6000.000%	10.000	99.800
ALXN	1996-02-28	2018-08-24	5050.685%	1.375	99.920
AM	2014-11-05	2018-08-24	9.847%	16.470	35.740
AMAG	1986-06-11	2018-08-24	260.000%	10.000	9.990
AMAT	1980-03-17	2018-08-24	44649.963%	0.076	9.990
AMBA	2012-10-10	2018-08-24	547.690%	10.020	99.990
AMBC	2013-05-01	2018-08-24	8.700%	11.920	35.610
AMBR	2014-03-21	2018-08-24	-48.941%	10.000	9.990
AMC	2013-12-18	2018-08-24	1.323%	10.800	36.130
AMCA	2017-08-11	2018-08-24	15.299%	24.400	28.620
AMCN	2007-11-07	2018-08-24	-97.847%	0.380	9.990
AMCX	2011-06-16	2018-08-24	77.289%	29.660	87.180
AMD	1980-03-17	2018-08-24	662.278%	1.610	9.970
AMDA	2014-02-13	2018-08-24	-99.954%	0.330	990.000
AME	1984-07-19	2018-08-24	4142.619%	1.222	9.994
AMED	1994-08-17	2018-08-24	2271.238%	0.562	98.350
AMEH	2009-04-09	2018-08-24	774.000%	0.100	9.990
AMG	1997-11-21	2018-08-24	735.189%	10.083	99.980
AMGN	1983-06-17	2018-08-24	57104.363%	0.076	99.880
AMGP	2017-05-04	2018-08-24	-16.591%	14.850	22.870
AMH	2013-08-01	2018-08-24	47.500%	13.160	23.980
AMID	2011-07-27	2018-08-24	-69.690%	10.000	9.990
AMKR	1998-05-01	2018-08-24	-35.099%	1.130	9.990
AMMA	2016-10-06	2018-08-24	-89.976%	0.150	5.470
AMN	2001-11-13	2018-08-24	165.712%	10.000	9.990
AMNB	1999-04-13	2018-08-24	196.786%	11.000	43.000
AMOT	1980-10-20	2018-08-24	3759.737%	0.750	9.938
AMOV	2001-02-08	2018-08-24	366.207%	1.862	9.993
AMP	2005-09-15	2018-08-24	281.654%	100.010	99.970
AMPH	2014-06-25	2018-08-24	105.943%	10.000	9.950
AMR	2017-05-01	2018-08-24	-51.324%	10.000	9.990
AMRB	2018-01-16	2018-08-24	-1.955%	12.210	17.500
AMRC	2010-07-22	2018-08-24	44.543%	10.000	9.980
AMRH	2015-05-04	2018-08-24	2900.000%	0.050	9.000
AMRK	2014-03-17	2018-08-24	0.827%	10.000	9.990
AMRN	1993-04-01	2018-08-24	-99.538%	0.460	99.800
AMRS	2010-09-28	2018-08-24	-96.929%	1.860	96.600
AMRX	2018-05-07	2018-08-24	53.698%	13.470	24.480
AMSC	1991-12-12	2018-08-24	-94.417%	10.000	99.900
AMSF	2005-11-18	2018-08-24	612.222%	10.000	9.980
AMSWA	1983-02-28	2018-08-24	283.444%	1.050	9.990
AMT	1998-02-27	2018-08-24	752.144%	0.600	99.980
AMTD	1997-03-04	2018-08-24	3424.923%	0.979	9.990
AMTX	2014-05-15	2018-08-24	-77.972%	0.452	9.970
AMWD	1986-07-18	2018-08-24	1167.051%	1.023	99.980
AMX	2001-02-12	2018-08-24	340.631%	1.923	9.898
AMZN	1997-05-15	2018-08-24	97196.509%	1.312	999.750
AN	1990-05-11	2018-08-24	1304.923%	1.250	9.990
ANAB	2017-01-26	2018-08-24	405.529%	100.810	99.000
ANAT	1980-03-17	2018-08-24	930.080%	10.125	99.970
ANCB	2011-01-26	2018-08-24	189.500%	10.000	9.980
ANCX	2004-07-19	2018-08-24	294.000%	10.000	9.990
ANDE	1996-02-20	2018-08-24	684.839%	10.000	9.997
ANDV	1980-03-17	2018-08-24	1567.221%	0.620	99.890
ANDX	2011-04-20	2018-08-24	114.851%	21.070	75.550
ANET	2014-06-06	2018-08-24	461.055%	100.670	99.990
ANF	1996-09-26	2018-08-24	136.454%	10.000	9.980
ANFI	2012-10-11	2018-08-24	-79.259%	1.570	9.980
ANGI	2011-11-17	2018-08-24	35.240%	10.000	9.990
ANGO	2004-06-01	2018-08-24	63.529%	10.000	9.950
ANH	1998-03-12	2018-08-24	-45.846%	10.000	9.990
ANIK	1993-05-03	2018-08-24	1083.429%	0.688	9.990
ANIP	2000-05-31	2018-08-24	-77.358%	10.000	99.720
ANSS	1996-06-20	2018-08-24	5899.158%	1.344	99.720
ANTH	2010-03-01	2018-08-24	-99.980%	0.070	93.200
ANTM	2001-10-30	2018-08-24	1197.702%	100.160	99.990
ANW	2006-12-08	2018-08-24	-88.140%	0.600	9.990
ANY	2013-08-12	2018-08-24	-98.971%	0.132	99.250
AOBC	1999-08-17	2018-08-24	808.235%	0.094	9.990
AOD	2007-04-23	2018-08-24	-79.225%	10.000	9.990
AOI	1995-04-03	2018-08-24	-87.361%	10.000	99.900
AON	1980-06-02	2018-08-24	5316.386%	10.000	99.970
AOS	1983-09-30	2018-08-24	5289.846%	0.542	9.998
AOSL	2010-04-29	2018-08-24	-16.554%	10.000	9.990
AP	1980-03-17	2018-08-24	-57.333%	10.000	9.970
APA	1979-05-15	2018-08-24	1121.834%	10.011	99.990
APAM	2013-03-07	2018-08-24	-15.143%	23.650	71.860
APB	1987-04-24	2018-08-24	22.545%	10.000	9.990
APC	1986-09-08	2018-08-24	1091.111%	10.000	99.950
APD	1980-03-17	2018-08-24	4060.315%	10.002	99.991
APDN	2003-07-16	2018-08-24	-99.296%	0.900	97.200
APEI	2007-11-09	2018-08-24	-0.056%	13.800	53.240
APEN	2007-05-01	2018-08-24	-95.331%	1.680	99.960
APF	1994-07-26	2018-08-24	13.133%	10.000	9.990
APH	1991-11-08	2018-08-24	16090.270%	0.320	95.900
APLE	2015-05-18	2018-08-24	-1.667%	13.820	20.970
APLS	2017-11-09	2018-08-24	29.651%	12.450	32.000
APO	2011-03-30	2018-08-24	90.659%	10.070	37.350
APOG	1973-05-03	2018-08-24	22831.986%	0.109	9.990
APOP	2016-08-01	2018-08-24	-9.623%	10.000	9.990
APPF	2015-06-26	2018-08-24	474.574%	11.070	81.950
APPN	2017-05-25	2018-08-24	132.112%	14.600	43.610
APPS	2006-07-06	2018-08-24	-33.810%	0.560	9.750
APRI	1999-04-19	2018-08-24	-99.000%	0.250	97.500
APRN	2017-06-29	2018-08-24	-77.700%	1.720	9.670
APTI	2016-09-23	2018-08-24	67.627%	10.770	39.060
APTO	2014-10-23	2018-08-24	-55.878%	0.780	7.780
APTS	2011-04-01	2018-08-24	81.827%	10.000	9.980
APTV	2011-11-17	2018-08-24	394.818%	100.150	99.500
APU	1995-04-12	2018-08-24	85.976%	12.750	52.720
APVO	2016-07-20	2018-08-24	-33.250%	1.148	8.290
APWC	2003-07-15	2018-08-24	11.667%	0.500	7.850
APY	2018-04-27	2018-08-24	15.553%	33.345	46.110
AQ	2017-11-03	2018-08-24	29.127%	10.100	18.490
AQB	2017-01-09	2018-08-24	40471.426%	0.007	9.990
AQMS	2015-07-31	2018-08-24	-56.075%	1.420	9.885
AQN	2007-12-12	2018-08-24	2168.889%	0.390	9.990
AQUA	2017-10-26	2018-08-24	-24.629%	17.580	25.590
AQXP	2014-03-07	2018-08-24	-73.389%	1.380	9.990
AR	2013-10-10	2018-08-24	-64.449%	16.310	68.430
ARA	2000-01-04	2018-08-24	2841.333%	0.006	6.500
ARAY	2007-02-08	2018-08-24	-86.126%	10.000	9.990
ARC	2005-02-04	2018-08-24	-76.727%	1.620	9.990
ARCB	1992-05-13	2018-08-24	237.500%	10.000	9.990
ARCC	2004-10-05	2018-08-24	15.846%	10.000	9.990
ARCH	2016-01-04	2018-08-24	9557.142%	0.040	99.950
ARCI	1991-11-08	2018-08-24	-97.214%	0.500	9.780
ARCO	2011-04-14	2018-08-24	-67.689%	10.000	9.980
ARCT	2012-03-01	2018-08-24	-23.737%	10.020	99.750
ARCW	2015-01-02	2018-08-24	-80.058%	1.050	9.670
ARD	2017-03-15	2018-08-24	-29.550%	14.770	24.540
ARDC	2012-11-28	2018-08-24	-20.650%	11.860	20.410
ARDM	1996-06-20	2018-08-24	-99.927%	0.780	996.000
ARDX	2014-06-19	2018-08-24	-68.816%	10.000	9.980
ARE	1997-05-28	2018-08-24	503.000%	100.000	99.950
ARES	2014-05-02	2018-08-24	12.903%	10.720	25.950
AREX	2007-11-08	2018-08-24	-82.129%	0.600	9.950
ARGD	2018-01-16	2018-08-24	0.830%	25.000	25.500
ARGO	2018-01-16	2018-08-24	19.679%	49.652	65.900
ARGX	2017-05-18	2018-08-24	298.826%	17.330	99.990
ARI	2009-09-25	2018-08-24	2.762%	11.790	19.920
ARII	2006-01-23	2018-08-24	93.394%	10.000	9.980
ARKR	1985-12-13	2018-08-24	140.000%	1.125	9.990
ARL	1982-04-21	2018-08-24	140.274%	1.150	9.990
ARLP	1999-08-17	2018-08-24	333.754%	10.002	9.998
ARMK	2013-12-12	2018-08-24	79.119%	20.100	46.090
ARNA	2000-07-28	2018-08-24	-85.212%	100.000	99.800
ARNC	1970-01-02	2018-08-24	231.802%	10.015	99.940
AROC	2007-08-21	2018-08-24	-83.694%	10.000	92.750
AROW	1980-09-18	2018-08-24	3023.451%	1.133	9.988
ARQL	1996-10-16	2018-08-24	-55.849%	0.920	9.950
ARR	2007-12-03	2018-08-24	-67.582%	16.610	79.760
ARRS	1993-09-17	2018-08-24	4.125%	1.500	9.990
ARRY	2000-11-30	2018-08-24	23.739%	1.580	9.990
ARTNA	1994-04-28	2018-08-24	679.727%	10.000	9.944
ARTW	1984-09-07	2018-08-24	99.111%	0.438	9.995
ARTX	1994-02-24	2018-08-24	-98.069%	0.350	99.750
ARW	1980-03-17	2018-08-24	1519.897%	1.500	9.980
ARWR	1994-06-29	2018-08-24	-98.146%	1.200	975.000
ASA	1978-01-03	2018-08-24	24.578%	10.000	9.979
ASB	1980-03-17	2018-08-24	4021.899%	0.662	9.991
ASC	2013-08-01	2018-08-24	-48.519%	10.030	9.990
ASCMA	2008-09-18	2018-08-24	-89.599%	1.680	9.990
ASET	2015-12-08	2018-08-24	15.517%	21.950	29.365
ASFI	1995-11-14	2018-08-24	9.091%	0.125	9.975
ASG	1986-03-06	2018-08-24	-34.222%	1.850	9.980
ASGN	1992-09-22	2018-08-24	4664.853%	1.280	94.250
ASH	1980-03-17	2018-08-24	1305.395%	10.006	9.996
ASIX	2016-09-15	2018-08-24	102.043%	12.000	46.510
ASLN	2018-05-04	2018-08-24	42.602%	5.080	9.990
ASMB	2010-12-17	2018-08-24	21.746%	10.210	99.850
ASML	1995-03-15	2018-08-24	9522.755%	1.828	99.950
ASNA	1983-05-04	2018-08-24	1483.673%	0.156	9.975
ASND	2015-01-28	2018-08-24	293.309%	11.920	76.290
ASNS	2017-11-16	2018-08-24	-86.529%	1.700	7.390
ASPN	2014-06-13	2018-08-24	-55.442%	10.010	9.950
ASPS	2009-08-06	2018-08-24	429.857%	10.020	99.930
ASPU	2013-03-22	2018-08-24	28.167%	1.116	9.610
ASR	2000-09-28	2018-08-24	1116.724%	10.000	99.710
ASRV	1985-01-30	2018-08-24	-51.455%	0.900	9.938
